Date,Open,High,Low,Close,Adj Close,Volume
2014-08-27,24460,24740,24440,24600,66.522362,12171000
2014-08-28,25160,25160,24720,24840,67.171364,10311850
2014-08-29,24760,24760,24560,24680,66.738708,14558250
2014-09-01,24720,24740,24480,24520,66.306038,5664050
2014-09-02,24420,24500,23880,23880,64.575363,15899600
2014-09-03,24000,24000,23600,23780,64.304947,21238750
2014-09-04,24200,24320,24040,24200,65.440697,12099950
2014-09-05,24300,24320,23900,24020,64.953957,10770400
2014-09-11,24000,24140,23840,23840,64.467178,23309200
2014-09-12,24000,24160,24000,24020,64.953957,10872350
2014-09-15,24140,24160,23920,24000,64.899864,7161500
2014-09-16,24160,24300,24020,24120,65.224365,7092400
2014-09-17,24140,24520,24140,24520,66.306038,7545750
2014-09-18,24600,24600,24080,24200,65.440697,9476750
2014-09-19,24460,24460,24120,24200,65.440697,13435050
2014-09-22,24080,24080,23600,23760,64.250862,16022100
2014-09-23,23560,23700,23220,23220,62.790615,19541400
2014-09-24,23040,23220,22820,23000,62.195698,15789200
2014-09-25,23240,23320,22940,23120,62.520195,19414500
2014-09-26,23040,23700,22960,23700,64.088615,12413550
2014-09-29,23860,24000,23400,23900,64.629456,9401000
2014-09-30,23700,23760,23300,23680,64.034523,12379300
2014-10-01,23480,23660,23120,23120,62.520195,11929800
2014-10-02,23300,23300,22820,22820,61.708958,12732750
2014-10-06,22900,23120,22760,23020,62.249786,21252900
2014-10-07,23240,23720,23240,23240,62.8447,10149150
2014-10-08,22840,23020,22480,22600,61.114037,14720550
2014-10-10,22000,22280,21980,22100,59.761963,21837450
2014-10-13,21640,22540,21560,22160,59.924194,11344750
2014-10-14,22540,22920,22400,22540,60.95179,16572550
2014-10-15,22560,22900,22400,22500,60.843628,14143600
2014-10-16,22320,22420,22080,22300,60.302788,15148300
2014-10-17,22120,22300,21740,21780,58.896618,16281750
2014-10-20,22300,22340,22020,22120,59.816032,9476750
2014-10-21,21880,22000,21620,21660,58.572128,11766050
2014-10-22,21940,22080,21800,22080,59.707867,11127700
2014-10-23,22260,22260,21800,21880,59.167034,8505900
2014-10-24,22060,22240,21840,22240,60.140541,8378450
2014-10-27,22020,22220,21740,21900,59.221119,8388600
2014-10-28,21800,22000,21720,21820,59.004784,6243850
2014-10-29,22000,22600,21800,22600,61.114037,13726100
2014-10-30,22580,23660,22300,23620,63.872276,24566950
2014-10-31,23960,25000,23700,24880,67.279526,38623150
2014-11-03,25000,25040,24320,24700,66.792778,13475800
2014-11-04,24380,24840,24100,24340,65.819283,13000300
2014-11-05,24300,24500,23880,24040,65.008034,10162150
2014-11-06,23960,24200,23860,24080,65.116196,8570150
2014-11-07,24360,24360,23900,24120,65.224365,6030200
2014-11-10,24520,25380,24440,25360,68.57753,19202900
2014-11-11,25100,25220,24540,24620,66.576447,12141400
2014-11-12,24620,24680,24380,24600,66.522362,9079600
2014-11-13,24560,24640,23980,24000,64.899864,11547150
2014-11-14,24020,24020,23600,23880,64.575363,10621750
2014-11-17,23800,24400,23640,24100,65.170288,9693950
2014-11-18,24400,24540,24300,24400,65.981522,10754700
2014-11-19,24760,24760,24240,24360,65.87336,12502750
2014-11-20,24120,24400,24120,24200,65.440697,10024150
