,Date,Open,High,Low,Close,Volume,index,Change,change_ratio,Open_R,High_R,Low_R,Vol_R,max_10_R,min_10_R,max_20_R,min_20_R,max_55_R,min_55_R,max_60_R,min_60_R,event,order,position,buy_type,buy_price,open_profit,close_profit,winnloss,cum_profit,day20_profit,kospi close,kospi change_r
843,2014-05-29,29000,29300,28800,29200,250430,20140529,540.0,0.01884,0.011863224005582694,0.022330774598743892,0.004884856943475227,0.36089,0.0,0.03767,0.0,0.09363,0.0,0.17081,0.0,0.17081,1,1,1,S1,29200,0,0,0,1220,-440.0,2012.260009765625,-0.00238
852,2014-06-13,28040,28080,27260,27340,371781,20140613,-920.0,-0.03255,-0.00778485491861288,-0.006369426751592357,-0.035385704175513094,0.43621,-0.07007,0.0,-0.07007,0.0,-0.07007,0.09623,-0.07007,0.09623,1,-1,0,S1,0,0,-1860,0,-640,-2020.0,1990.8499755859373,-0.01034
878,2014-07-21,26980,27200,26860,27060,161199,20140721,200.0,0.00745,0.004467609828741623,0.012658227848101266,0.0,-0.17271,0.0,0.05374,0.0,0.05374,-0.07959,0.05374,-0.07959,0.05374,1,1,1,S1,27060,0,0,0,-640,0.0,2018.5,-0.00045999999999999996
887,2014-08-01,26100,26560,25840,25840,564621,20140801,-1020.0,-0.03797,-0.028294862248696945,-0.011169024571854059,-0.0379746835443038,0.15932,-0.07384,0.0,-0.07384,0.00623,-0.12109,0.00623,-0.12109,0.00623,1,-1,0,S1,0,0,-1220,0,-1860,-1220.0,2073.10009765625,-0.00145
945,2014-10-30,22580,23660,22300,23620,491339,20141030,1020.0,0.04513,-0.0008849557522123894,0.046902654867256637,-0.01327433628318584,0.7898,0.0,0.09049,0.0,0.09049,-0.0845,0.09049,-0.12063,0.09049,1,1,1,S1,23620,0,0,0,-1860,0.0,1958.9300537109373,-0.00114
955,2014-11-13,24560,24640,23980,24000,230943,20141113,-600.0,-0.024390000000000002,-0.0016260162601626016,0.0016260162601626016,-0.025203252032520326,0.27177,-0.05363,0.0,-0.05363,0.10803,-0.05363,0.10803,-0.05363,0.10803,1,-1,0,S1,0,0,380,1,-1480,380.0,1960.510009765625,-0.00344
966,2014-11-28,25900,25920,25480,25740,196891,20141128,460.0,0.0182,0.0245253164556962,0.02531645569620253,0.007911392405063292,-0.77816,0.0,0.08151,0.0,0.08151,0.0,0.18837,0.0,0.18837,1,1,1,S2,25740,0,0,1,-1480,380.0,1980.780029296875,-0.00066
1065,2015-04-24,28979,29100,28000,28200,381798,20150424,-820.0,-0.028260000000000004,-0.0014128187456926258,0.0027567195037904893,-0.03514817367332874,1.06486,-0.04665,0.0,-0.05369,0.0,-0.06188,0.04911,-0.06188,0.04911,1,-1,0,S2,0,0,2460,1,980,2460.0,2159.800048828125,-0.00626
1178,2015-10-08,25000,25580,25000,25400,570677,20151008,380.0,0.01519,-0.0007993605115907274,0.02238209432454037,-0.0007993605115907274,-0.28621,0.0,0.14209,0.0,0.14209,0.0,0.19025,-0.02682,0.19025,1,1,1,S2,25400,0,0,1,980,0.0,2019.530029296875,0.00683
1204,2015-11-16,25820,25820,25260,25260,275705,20151116,-740.0,-0.028460000000000003,-0.006923076923076923,-0.006923076923076923,-0.02846153846153846,0.55172,-0.06583,0.0,-0.08677,0.0,-0.08677,0.18369,-0.08677,0.18369,1,-1,0,S2,0,0,-140,0,840,-140.0,1943.02001953125,-0.015340000000000001
1265,2016-02-17,23580,24020,23380,23700,246062,20160217,340.0,0.01455,0.009417808219178082,0.028253424657534245,0.0008561643835616438,0.36397,0.0,0.04867,0.0,0.0524,-0.11236,0.0524,-0.11236,0.0524,1,1,1,S1,23700,0,0,0,840,0.0,1883.93994140625,-0.00231
1298,2016-04-05,25980,25980,25200,25200,236319,20160405,-900.0,-0.034480000000000004,-0.004597701149425287,-0.004597701149425287,-0.034482758620689655,0.25671,-0.03963,0.0,-0.03963,0.05528,-0.03963,0.11901,-0.03963,0.11901,1,-1,0,S1,0,0,1500,1,2340,1500.0,1962.739990234375,-0.0082
